,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"RT @FoxNews: .@realDonaldTrump: ""[@HillaryClinton's] nasty, but I can be nastier than she can ever be."" https://t.co/3tS8QXqWH3",FALSE,0,NA,2016-10-01 23:59:55,FALSE,NA,782369483616882688,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Rixon_tk,182,TRUE,FALSE,NA,NA
2,"RT @TeamTrump: SECRET AUDIO: If you thought #Deplorables was bad, hear what @HillaryClinton had to say about the #BasementDwellers https://",FALSE,0,NA,2016-10-01 23:59:53,FALSE,NA,782369477971288064,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LaurieHouston19,1509,TRUE,FALSE,NA,NA
3,"RT @TeamTrump: SECRET AUDIO: If you thought #Deplorables was bad, hear what @HillaryClinton had to say about the #BasementDwellers https://",FALSE,0,NA,2016-10-01 23:59:53,FALSE,NA,782369476129935360,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tlm10516,1509,TRUE,FALSE,NA,NA
4,@Cokeymon3 @HillaryClinton she's embraced almost all of his platform. Actions are louder than words. But you can't reason w/ #deplorables,FALSE,0,Cokeymon3,2016-10-01 23:59:53,FALSE,782364884637880320,782369474485874689,213054829,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Deasonized,0,FALSE,FALSE,NA,NA
5,"RT @FoxNews: .@realDonaldTrump: ""[@HillaryClinton's] nasty, but I can be nastier than she can ever be."" https://t.co/gUfkOGruTl",FALSE,0,NA,2016-10-01 23:59:52,FALSE,NA,782369473483472896,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",IjazANadeem,198,TRUE,FALSE,NA,NA
6,"@HillaryClinton 

What a nice guy.
https://t.co/GU49D7Wweo",FALSE,0,HillaryClinton,2016-10-01 23:59:51,FALSE,782359247984222209,782369469708414978,1339835893,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Steve_6895,0,FALSE,FALSE,NA,NA
7,"RT @AmericanMex067: Not only does @HillaryClinton hate #BasementDwellers, the hypocrite likes to build walls around them. https://t.co/rGkk",FALSE,0,NA,2016-10-01 23:59:41,FALSE,NA,782369427287252992,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sc_charlotte,1144,TRUE,FALSE,NA,NA
8,"RT @TeamTrump: .@HillaryClinton's labels for hard-working American people:
#Deplorables
#BasementDwellers https://t.co/VJYipuAhIA",FALSE,0,NA,2016-10-01 23:59:39,FALSE,NA,782369416726114304,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jenniferpgoff,513,TRUE,FALSE,NA,NA
9,"RT @FoxNews: Fox News Poll: Among independent voters, @realDonaldTrump leads @HillaryClinton 41% to 29%. https://t.co/JOA7dLlgoT",FALSE,0,NA,2016-10-01 23:59:38,FALSE,NA,782369411835375616,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",skifflegirl,1346,TRUE,FALSE,NA,NA
10,RT @FoxNews: North Carolina Poll: @realDonaldTrump leads @HillaryClinton 45% to 40%. https://t.co/HrpIglZdyJ,FALSE,0,NA,2016-10-01 23:59:37,FALSE,NA,782369409050501120,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",saxdaddy46,2061,TRUE,FALSE,NA,NA
11,"RT @FoxNews: .@GovMikeHuckabee: ""@HillaryClinton is an elitist snob. She believes she's smarter than you."" https://t.co/KNNwOF5dSM",FALSE,0,NA,2016-10-01 23:59:36,FALSE,NA,782369405585989632,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tennisgirlbama,1482,TRUE,FALSE,NA,NA
12,"Guy yells 'BILL CLINTON IS A RAPIST!' on live TV! 4k Quality! @billclinton @HillaryClinton
@realkingrobbo https://t.co/6bnWWSCQSk",FALSE,1,NA,2016-10-01 23:59:36,TRUE,NA,782369404256346112,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",da_geekyblonde,0,FALSE,FALSE,NA,NA
