,X,text,topic,NRC_anger,NRC_anticipation,NRC_disgust,NRC_fear,NRC_joy,NRC_sadness,NRC_surprise,NRC_trust,NRC_negative,NRC_positive,sentiment_valence
1,0,"HERE<U+2019>S A STAT WORTH SHARING! 

Global #COVID19 #coronavirus total recoveries have passed 250,000.

That<U+2019>s nearly 4x the number of deaths.

There 1,200,000+ confirmed cases worldwide. 

(source @JohnsHopkins) https://t.co/XoRwdxBwLx",5,0,0,0,0,0,0,0,0,0,1,1.15
2,1,"I keep thinking back to this ranking of global pandemic preparedness by country. Pre- #COVID19, the US ranked #1 with the highest score of 83.5%. Every medical expert I<U+2019>ve heard asked about this says the grade the US currently deserves is an F. https://t.co/l3gdER2c0j",3,0,4,0,3,2,1,2,2,2,4,0
3,2,"Here<U+2019>s what the @TexasGuard is doing with the @USACEHQ to provide additional healthcare facilities to respond to the #coronavirus. 

One facility is already open in Dallas. 

Other locations around the state are being reviewed now. 

#COVID19 https://t.co/CZpEerXqFn",3,0,0,0,0,0,0,0,1,0,1,1.05
4,3,#SaferAtHome Best Practices: Being at home doesn<U+2019>t have to mean being cut off from your friends and family. Take time to check in and catch up with a call or video chat. #makesomeonesday #COVID19 https://t.co/QWCFx4HtCu,3,0,1,0,0,0,0,1,0,0,0,0.25
5,4,I<U+2019>ve never experienced this much stress in my entire medical career <U+2014> treating sick young #COVID19 patients here in #NYC is beyond difficult. The fear is palpable among us all on the frontlines... please stay at home <U+2014> it means the world to us #SocialDistance,3,1,3,1,3,1,1,2,2,3,4,-0.75
6,5,"An open letter from @PasadenaTenants to the #Pasadena City Council regarding urgent #COVID19 protections!

Please read and share! https://t.co/42ZGTcMlR5",3,0,4,0,1,1,0,1,2,1,2,1.15
7,6,"Hacia Barbados parten 101 enfermer@s, 95 de ellas mujeres, para ayudar en la lucha vs la #COVID19 en esa hermana naci<U+00F3>n. Con esta, son 15 brigadas Henry Reeve y casi 700 cooperantes, los que desde distintas partes del mundo suman esfuerzos para enfrentar la pandemia. https://t.co/PxMaXABlz4",2,0,0,0,0,0,0,0,0,0,0,-0.25
8,7,"It<U+2019>s absolutely fucken wild how many ppl are sharing information that a substance that kills #COVID19 IN A PETRI DISH might also kill it in the human bloodstream. Like, I knew many ppl were a bit deficient in science education but not even I thought anyone was that  bloody naive.",3,0,1,0,1,0,1,1,0,3,2,-2.85
9,8,"#OnuMxCOVID19
La pandemia del #COVID19 est<U+00E1> causando un sufrimiento humano incalculable. 
<U+26A0><U+FE0F> Para muchas mujeres y ni<U+00F1>as, la amenaza es mayor precisamente all<U+00ED> donde deber<U+00ED>an estar m<U+00E1>s seguras: en sus propios hogares.
https://t.co/h0Oeood5Tj",5,0,0,0,0,0,0,0,0,1,1,-0.6
10,9,"China knew and still allowed travel out. Meanwhile back in DC Democrats accused Trump of racism when he did stop travel from China:

Disaster in motion: 3.4 million travelers poured into US as coronavirus pandemic erupted. 759493 from China

https://t.co/pCu0T0ZuJF 
#COVID19",1,2,0,1,3,0,2,2,0,3,0,-4
